أبو الحسن الششتري هو شاعر عباسي له ما يزيد عن 50 قصيدة ,0,أبو الحسن الششتري هو شاعر أندلسي له ما يزيد عن 50 قصيدة ,3
"لَعَلَّكَ بالوادي المُقَدَّسِ شاطىء ُ"" هي أشهر قصائد الحداد القيسي، شاعر العصر الأندلسي """,1,,3
يعد المتنبي من أبرز شعراء العصرالجاهلي وله ما يتعدي المئتان قصيدة ,0,يعد المتنبي من أبرز شعراء العصر العباسي وله ما يتعدي المئتان قصيدة ,2
يعد سوينكا أهم وأبرز كاتب أفريقي ولد عام 1934 في مدينة أبيوكوتا ,1,,3
كتب وول سارتر الفيلسوف والروائي الفرنسي مسرحية مجانين واختصاصيون عام 1970,0,كتب وول سوينكا الروائي الافريقي /النيجيري مسرحية مجانين واختصاصيون عام 1970,3
"كتب سمير فريد كتابًا بعنوان وجه أمريكا الذميم في ميدان الثقافة (السينما) عام 1967""",0,"كتب سمير فريد كتابًا بعنوان وجه أمريكا القبيح في ميدان الثقافة (السينما) عام 1967""",3
عُرفت (بين القصرين، قصر الشوق ، زقاق المدق) بثلاثية القاهرة لنجيب محفوظ,0,عُرفت (بين القصرين، قصر الشوق ، السكرية) بثلاثية القاهرة لنجيب محفوظ,1
"ملحمة الحرافيش هي رواية لنجيب محفوظ حُول جزء منها الي فيلم بعنوان التوت والنبوت""",1,,2
"كتب نجيب محفوظ القصة القصيرة فتوة العطوف""عام 2001""",1,,2
"ساهمت رواية أولاد حارتنا"" لنجيب محفوظ في التحريض علي أولي محاولات اغتياله""",1,,1
"كتب توفيق الحكيم  رواية جمهورية فرحات"" عام 1957""",0,"كتب يوسف ادريس رواية جمهورية فرحات"" عام 1957""",2
"كتب يوسف السباعي رواية الحرام"" بالقاهرة عام 1959""",0,"كتب يوسف ادريس رواية الحرام"" بالقاهرة عام 1959""",2
المهزلة الأرضية أبرز المؤلفات المسرحية لعباس محمود العقاد,0,المهزلة الأرضية أبرز المؤلفات المسرحية ليوسف ادريس,2
كان أبو خليل القباني هو رائد المسرح العربي في سوريا ,1,,2
"تعد رواية أليس في بلاد العجائب"" للكاتب لويس كارول علامة بارزة في أدب الطفل كما ترجمت لأكثر من 71 لغة حول العالم""",1,,1
